date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,5300000,453960,1663138,1578469,2470000,453960,944431,914902,1720000,453960,877916,857624,1360000,464280,768440,754382
2020-12-09,5300000,453960,1643013,1559431,2470000,453960,931957,901494,1720000,453960,871182,850142,1360000,464280,772519,758576
2020-12-10,5300000,414010,1620535,1540526,2470000,414010,917113,887933,1720000,414010,864915,844123,1360000,414010,755379,741273
2020-12-11,5300000,414010,1603646,1525958,2470000,414010,918669,889683,1720000,414010,873054,853167,1360000,414010,780538,765686
2020-12-12,5300000,414010,1587543,1508560,2470000,414010,918056,888993,1720000,414010,873548,853716,1360000,414010,770921,754590
2020-12-13,5300000,414010,1573331,1492769,2470000,414010,918221,889179,1720000,414010,871741,851707,1360000,414010,776624,761171
2020-12-14,5300000,414010,1573331,1492769,2470000,414010,918221,889179,1720000,414010,871741,851707,1360000,414010,776624,761171
2020-12-15,5300000,414010,1573331,1492769,2470000,414010,918221,889179,1720000,414010,871741,851707,1360000,414010,776624,761171
2020-12-16,5300000,414010,1562534,1480772,2470000,414010,918042,888978,1720000,414010,864183,843310,1360000,414010,775273,759612
2020-12-17,5300000,414010,1546308,1463147,2470000,414010,910146,880095,1660000,414010,843506,827002,1360000,414010,767035,750106
2020-12-18,5300000,412440,1530989,1446915,2470000,412440,906118,876386,1660000,412440,834976,818484,1360000,412440,753615,736615
2020-12-19,5300000,401130,1517051,1432133,2470000,401130,899352,869574,1660000,401130,825908,809387,1360000,401130,728653,708308
2020-12-20,5300000,401130,1503322,1417349,2470000,401130,890562,860002,1600000,401130,805556,792699,1270000,401130,697947,682879
2020-12-21,5300000,401130,1503322,1417349,2470000,401130,890562,860002,1600000,401130,805556,792699,1270000,401130,697947,682879
2020-12-22,5300000,401130,1503322,1417349,2470000,401130,890562,860002,1600000,401130,805556,792699,1270000,401130,697947,682879
2020-12-23,5300000,401130,1488286,1400643,2470000,401130,889607,858928,1600000,401130,801114,787764,1270000,401130,689398,673014
2020-12-24,5060000,362800,1460857,1382429,2470000,362800,884748,854601,1600000,362800,790328,776728,1270000,362800,664825,646570
2020-12-25,5060000,281270,1443808,1364703,2470000,281270,879178,850305,1600000,281270,772849,759736,1270000,281270,637534,628465
2020-12-26,4350000,169340,1416638,1347943,2470000,169340,872607,845971,1600000,169340,753338,743645,1270000,169340,617162,612400
2020-12-27,4350000,169340,1416638,1347943,2470000,169340,872607,845971,1600000,169340,753338,743645,1270000,169340,617162,612400
2020-12-28,4350000,169340,1416638,1347943,2470000,169340,872607,845971,1600000,169340,753338,743645,1270000,169340,617162,612400
2020-12-29,4350000,169340,1416638,1347943,2470000,169340,872607,845971,1600000,169340,753338,743645,1270000,169340,617162,612400
2020-12-30,4350000,169340,1405736,1335830,2470000,169340,870501,843601,1600000,169340,741299,730269,1270000,169340,607296,601016
2020-12-31,4350000,169340,1389533,1319432,2470000,169340,863983,836269,1360000,169340,723190,716815,1270000,169340,600006,592605
2021-01-01,4350000,169340,1378626,1307312,2470000,169340,861731,833735,1360000,169340,715411,708171,1270000,169340,589848,580884
2021-01-02,4350000,169340,1363225,1290734,2470000,169340,857206,829077,1360000,169340,703208,694612,1270000,169340,582548,572461
2021-01-03,4350000,169340,1363225,1290734,2470000,169340,857206,829077,1360000,169340,703208,694612,1270000,169340,582548,572461
2021-01-04,4350000,169340,1363225,1290734,2470000,169340,857206,829077,1360000,169340,703208,694612,1270000,169340,582548,572461
2021-01-05,4350000,169340,1363225,1290734,2470000,169340,857206,829077,1360000,169340,703208,694612,1270000,169340,582548,572461
2021-01-06,4350000,169340,1352225,1278511,2470000,169340,861704,834138,1360000,169340,707820,699737,1270000,169340,598980,579569
2021-01-07,4350000,169340,1342191,1267363,2470000,169340,859432,831581,1360000,169340,704807,696389,1270000,169340,599619,580307
2021-01-08,4350000,169340,1326136,1255141,2470000,169340,858543,830581,1360000,169340,702640,695092,1270000,169340,611381,593878
2021-01-09,4350000,169340,1316078,1243966,2470000,169340,855621,827295,1360000,169340,696135,687864,1270000,169340,609853,592114
2021-01-10,4350000,169340,1304980,1231635,2470000,169340,856245,827997,1360000,169340,694875,686465,1270000,169340,616856,600195
2021-01-11,4350000,169340,1304980,1231635,2470000,169340,856245,827997,1360000,169340,694875,686465,1270000,169340,616856,600195
2021-01-12,4350000,169340,1304980,1231635,2470000,169340,856245,827997,1360000,169340,694875,686465,1270000,169340,616856,600195
2021-01-13,4350000,169340,1295608,1221221,2470000,169340,855438,827088,1360000,169340,692487,683811,1270000,169340,621812,605913
